"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2021";"0000";"21,0";"63,0";"1001,2";"0,0";"0,0";"0,0";"12,40";"29,4";"";""
"01/01/2021";"1200";"22,8";"57,0";"1004,6";"1,6";"140,0";"3,0";"";"";"15,4";"0,0"
"01/01/2021";"1800";"28,8";"37,0";"1003,0";"3,5";"140,0";"2,0";"";"";"";""
"02/01/2021";"0000";"22,4";"61,0";"1002,4";"0,5";"140,0";"3,0";"12,00";"32,0";"";""
"02/01/2021";"1200";"23,6";"53,0";"1004,6";"1,3";"140,0";"0,0";"";"";"14,2";"0,0"
"02/01/2021";"1800";"30,6";"34,0";"1001,4";"1,6";"180,0";"0,0";"";"";"";""
"03/01/2021";"0000";"25,8";"51,0";"1001,1";"4,1";"140,0";"0,0";"12,40";"30,8";"";""
"03/01/2021";"1200";"22,4";"71,0";"1001,9";"3,3";"180,0";"0,0";"";"";"16,8";"0,0"
"03/01/2021";"1800";"30,8";"44,0";"998,7";"4,3";"180,0";"2,0";"";"";"";""
"04/01/2021";"0000";"25,6";"56,0";"998,0";"0,8";"90,0";"0,0";"9,20";"33,4";"";""
"04/01/2021";"1200";"26,0";"58,0";"998,4";"3,5";"140,0";"8,0";"";"";"18,8";"0,0"
"04/01/2021";"1800";"33,2";"43,0";"996,4";"2,3";"140,0";"8,0";"";"";"";""
"05/01/2021";"0000";"28,0";"59,0";"996,3";"3,3";"140,0";"10,0";"1,70";"29,0";"";""
"05/01/2021";"1200";"23,2";"81,0";"998,7";"7,6";"50,0";"10,0";"";"";"22,4";"2,9"
"05/01/2021";"1800";"27,2";"66,0";"997,6";"2,5";"50,0";"10,0";"";"";"";""
"06/01/2021";"0000";"24,0";"88,0";"997,2";"1,6";"180,0";"0,0";"11,70";"34,2";"";""
"06/01/2021";"1200";"27,0";"72,0";"999,1";"1,3";"270,0";"5,0";"";"";"19,6";"1,8"
"06/01/2021";"1800";"33,2";"50,0";"997,5";"2,1";"270,0";"7,0";"";"";"";""
"07/01/2021";"0000";"26,8";"78,0";"996,8";"0,5";"230,0";"0,0";"11,60";"33,2";"";""
"07/01/2021";"1200";"27,2";"59,0";"999,1";"1,6";"360,0";"3,0";"";"";"23,4";"0,0"
"07/01/2021";"1800";"32,8";"42,0";"997,0";"2,0";"320,0";"3,0";"";"";"";""
"08/01/2021";"0000";"26,4";"59,0";"997,2";"0,0";"0,0";"10,0";"12,20";"33,8";"";""
"08/01/2021";"1200";"26,8";"47,0";"1000,4";"0,8";"320,0";"0,0";"";"";"16,0";"0,0"
"08/01/2021";"1800";"33,4";"27,0";"998,8";"2,5";"50,0";"0,0";"";"";"";""
"09/01/2021";"0000";"25,0";"60,0";"997,8";"0,5";"90,0";"0,0";"7,80";"35,4";"";""
"09/01/2021";"1200";"27,8";"59,0";"1000,4";"1,8";"140,0";"0,0";"";"";"17,2";"0,0"
"09/01/2021";"1800";"35,2";"40,0";"996,4";"2,1";"180,0";"8,0";"";"";"";""
"10/01/2021";"0000";"28,6";"58,0";"998,4";"4,0";"360,0";"8,0";"12,20";"";"";""
"10/01/2021";"1200";"28,0";"64,0";"1000,6";"1,3";"90,0";"5,0";"";"";"19,8";"0,0"
"10/01/2021";"1800";"34,4";"46,0";"998,3";"2,8";"180,0";"5,0";"";"";"";""
"11/01/2021";"0000";"30,0";"65,0";"997,2";"1,3";"90,0";"2,0";"11,30";"38,0";"";""
"11/01/2021";"1200";"29,8";"65,0";"997,2";"2,5";"90,0";"7,0";"";"";"24,2";"0,0"
"11/01/2021";"1800";"37,4";"40,0";"993,4";"5,0";"360,0";"7,0";"";"";"";""
"12/01/2021";"0000";"27,2";"70,0";"996,3";"6,6";"230,0";"10,0";"0,00";"27,2";"";""
"12/01/2021";"1200";"22,4";"94,0";"1001,4";"1,0";"180,0";"10,0";"";"";"22,0";"28,0"
"12/01/2021";"1800";"25,4";"79,0";"1003,1";"1,6";"180,0";"10,0";"";"";"";""
"13/01/2021";"0000";"23,4";"82,0";"1002,6";"3,3";"140,0";"7,0";"4,30";"26,0";"";""
"13/01/2021";"1200";"21,4";"79,0";"1006,0";"3,0";"180,0";"8,0";"";"";"20,0";"0,0"
"13/01/2021";"1800";"25,4";"68,0";"1005,8";"4,6";"180,0";"10,0";"";"";"";""
"14/01/2021";"0000";"22,4";"66,0";"1005,6";"4,6";"180,0";"4,0";"12,30";"28,8";"";""
"14/01/2021";"1200";"21,4";"76,0";"1006,6";"6,0";"180,0";"2,0";"";"";"16,0";"0,0"
"14/01/2021";"1800";"28,2";"52,0";"1003,5";"4,6";"180,0";"0,0";"";"";"";""
"15/01/2021";"0000";"23,4";"67,0";"1002,7";"2,8";"180,0";"0,0";"11,30";"33,2";"";""
"15/01/2021";"1200";"23,4";"77,0";"1001,2";"2,5";"140,0";"0,0";"";"";"18,2";"0,0"
"15/01/2021";"1800";"32,6";"56,0";"995,4";"4,0";"140,0";"6,0";"";"";"";""
"16/01/2021";"0000";"28,2";"74,0";"993,8";"0,8";"180,0";"10,0";"0,60";"28,2";"";""
"16/01/2021";"1200";"27,0";"74,0";"992,3";"1,6";"270,0";"9,0";"";"";"24,6";"0,0"
"16/01/2021";"1800";"22,4";"93,0";"992,2";"3,0";"90,0";"9,0";"";"";"";""
"17/01/2021";"0000";"24,6";"87,0";"992,6";"2,0";"80,0";"8,0";"4,40";"28,4";"";""
"17/01/2021";"1200";"24,4";"88,0";"995,8";"1,3";"320,0";"10,0";"";"";"21,8";"24,1"
"17/01/2021";"1800";"27,4";"70,0";"994,0";"3,3";"180,0";"9,0";"";"";"";""
"18/01/2021";"0000";"23,0";"72,0";"996,8";"0,8";"320,0";"8,0";"11,70";"27,4";"";""
"18/01/2021";"1200";"21,8";"69,0";"1002,6";"0,8";"140,0";"0,0";"";"";"14,8";"0,0"
"18/01/2021";"1800";"26,6";"53,0";"1002,2";"2,5";"140,0";"4,0";"";"";"";""
"19/01/2021";"0000";"22,2";"79,0";"1002,2";"1,0";"140,0";"3,0";"11,00";"28,6";"";""
"19/01/2021";"1200";"20,2";"85,0";"1005,2";"1,3";"140,0";"3,0";"";"";"20,1";"0,0"
"19/01/2021";"1800";"27,6";"47,0";"1003,1";"5,0";"140,0";"0,0";"";"";"";""
"20/01/2021";"0000";"23,4";"67,0";"1004,0";"2,5";"140,0";"0,0";"9,20";"28,0";"";""
"20/01/2021";"1200";"21,8";"81,0";"1006,3";"4,3";"140,0";"7,0";"";"";"18,4";"0,0"
"20/01/2021";"1800";"27,2";"66,0";"1003,8";"5,6";"140,0";"8,0";"";"";"";""
"21/01/2021";"0000";"24,2";"74,0";"1004,4";"3,0";"140,0";"5,0";"7,40";"28,2";"";""
"21/01/2021";"1200";"23,2";"78,0";"1006,6";"3,3";"180,0";"6,0";"";"";"20,6";"0,0"
"21/01/2021";"1800";"28,0";"66,0";"1005,6";"5,0";"180,0";"8,0";"";"";"";""
"22/01/2021";"0000";"23,6";"86,0";"1006,4";"2,8";"180,0";"8,0";"11,20";"31,6";"";""
"22/01/2021";"1200";"25,2";"81,0";"1007,2";"3,3";"140,0";"4,0";"";"";"20,8";"0,0"
"22/01/2021";"1800";"31,0";"56,0";"1004,3";"4,6";"140,0";"4,0";"";"";"";""
"23/01/2021";"0000";"26,4";"71,0";"1005,4";"2,5";"140,0";"0,0";"12,00";"31,8";"";""
"23/01/2021";"1200";"24,6";"81,0";"1007,0";"2,6";"140,0";"0,0";"";"";"20,2";"0,0"
"23/01/2021";"1800";"31,8";"51,0";"1001,6";"3,3";"140,0";"2,0";"";"";"";""
"24/01/2021";"0000";"26,4";"72,0";"1001,0";"0,0";"0,0";"0,0";"5,70";"31,6";"";""
"24/01/2021";"1200";"25,4";"86,0";"1001,6";"1,6";"140,0";"7,0";"";"";"21,2";"0,0"
"24/01/2021";"1800";"23,6";"78,0";"1000,4";"3,3";"140,0";"10,0";"";"";"";""
"25/01/2021";"0000";"21,6";"95,0";"998,4";"0,8";"90,0";"0,0";"10,70";"32,4";"";""
"25/01/2021";"1200";"25,0";"79,0";"999,0";"1,6";"140,0";"4,0";"";"";"19,0";"3,2"
"25/01/2021";"1800";"31,2";"54,0";"995,5";"2,0";"140,0";"8,0";"";"";"";""
"26/01/2021";"0000";"27,2";"76,0";"994,3";"0,0";"0,0";"2,0";"2,60";"28,4";"";""
"26/01/2021";"1200";"26,6";"75,0";"995,8";"1,6";"360,0";"8,0";"";"";"22,6";"0,0"
"26/01/2021";"1800";"25,8";"91,0";"993,6";"0,3";"360,0";"10,0";"";"";"";""
"27/01/2021";"0000";"26,0";"79,0";"992,6";"3,1";"360,0";"10,0";"0,30";"27,2";"";""
"27/01/2021";"1200";"23,6";"95,0";"993,1";"0,0";"0,0";"10,0";"";"";"23,6";"13,0"
"27/01/2021";"1800";"27,2";"79,0";"992,6";"1,6";"270,0";"10,0";"";"";"";""
"28/01/2021";"0000";"22,0";"91,0";"994,2";"2,0";"180,0";"10,0";"3,10";"29,4";"";""
"28/01/2021";"1200";"23,4";"93,0";"995,6";"2,5";"140,0";"8,0";"";"";"21,4";"13,6"
"28/01/2021";"1800";"27,0";"80,0";"993,2";"3,5";"180,0";"10,0";"";"";"";""
"29/01/2021";"0000";"21,0";"94,0";"994,2";"0,8";"230,0";"10,0";"5,80";"31,0";"";""
"29/01/2021";"1200";"25,0";"89,0";"994,0";"1,3";"140,0";"10,0";"";"";"20,2";"75,7"
"29/01/2021";"1800";"24,4";"86,0";"992,8";"3,1";"360,0";"10,0";"";"";"";""
"30/01/2021";"0000";"23,2";"98,0";"994,0";"1,6";"50,0";"10,0";"8,60";"32,2";"";""
"30/01/2021";"1200";"27,0";"72,0";"996,6";"0,5";"140,0";"4,0";"";"";"20,2";"14,6"
"30/01/2021";"1800";"27,0";"89,0";"995,6";"2,6";"140,0";"8,0";"";"";"";""
"31/01/2021";"0000";"20,6";"98,0";"998,4";"1,6";"320,0";"10,0";"0,00";"26,2";"";""
"31/01/2021";"1200";"21,8";"93,0";"998,3";"1,3";"230,0";"10,0";"";"";"19,8";"25,4"
"31/01/2021";"1800";"25,4";"81,0";"998,0";"1,3";"320,0";"10,0";"";"";"";""
"01/02/2021";"0000";"23,8";"88,0";"997,8";"0,0";"0,0";"5,0";"7,50";"31,0";"";""
"01/02/2021";"1200";"22,8";"93,0";"1000,8";"1,3";"320,0";"7,0";"";"";"18,8";"0,0"
"01/02/2021";"1800";"29,4";"67,0";"997,6";"2,6";"180,0";"7,0";"";"";"";""
"02/02/2021";"0000";"26,0";"87,0";"998,8";"0,8";"140,0";"6,0";"7,10";"31,2";"";""
"02/02/2021";"1200";"25,8";"81,0";"1000,4";"1,6";"140,0";"6,0";"";"";"21,0";"0,0"
"02/02/2021";"1800";"26,8";"84,0";"998,8";"2,5";"180,0";"9,0";"";"";"";""
"03/02/2021";"0000";"26,4";"92,0";"999,2";"1,0";"180,0";"5,0";"0,00";"26,4";"";""
"03/02/2021";"1200";"23,8";"99,0";"1000,4";"0,8";"270,0";"10,0";"";"";"23,0";"4,4"
"03/02/2021";"1800";"23,0";"97,0";"999,0";"3,3";"90,0";"10,0";"";"";"";""
"04/02/2021";"0000";"25,8";"84,0";"996,0";"5,0";"360,0";"9,0";"9,80";"27,4";"";""
"04/02/2021";"1200";"22,2";"87,0";"999,2";"1,6";"320,0";"8,0";"";"";"19,6";"48,4"
"04/02/2021";"1800";"26,6";"63,0";"999,0";"3,3";"230,0";"8,0";"";"";"";""
"05/02/2021";"0000";"20,8";"89,0";"1000,6";"0,8";"230,0";"10,0";"10,60";"25,2";"";""
"05/02/2021";"1200";"19,8";"78,0";"1002,6";"1,6";"270,0";"8,0";"";"";"15,6";"3,2"
"05/02/2021";"1800";"24,0";"56,0";"1000,3";"2,6";"230,0";"7,0";"";"";"";""
"06/02/2021";"0000";"19,8";"85,0";"999,9";"0,7";"230,0";"0,0";"11,50";"26,8";"";""
