"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"02/07/2024";"0000";"8,0";"89,0";"1008,7";"0,0";"0,0";"0,0";"8,40";"23,0";"";""
"02/07/2024";"1200";"6,0";"100,0";"1007,5";"0,0";"0,0";"0,0";"";"";"3,2";"0,0"
"02/07/2024";"1800";"22,0";"55,0";"1002,7";"1,5";"180,0";"0,0";"";"";"";""
"03/07/2024";"0000";"14,0";"89,0";"1001,6";"0,5";"180,0";"3,8";"2,50";"19,9";"";""
"03/07/2024";"1200";"15,0";"93,0";"1004,4";"0,0";"0,0";"7,5";"";"";"13,6";"0,0"
"03/07/2024";"1800";"19,2";"55,0";"1001,8";"1,5";"140,0";"10,0";"";"";"";""
"04/07/2024";"0000";"15,8";"73,0";"1003,1";"1,0";"140,0";"10,0";"0,00";"15,9";"";""
"04/07/2024";"1200";"12,8";"72,0";"1003,6";"3,6";"140,0";"10,0";"";"";"";"0,0"
"04/07/2024";"1800";"13,4";"78,0";"1003,9";"2,6";"140,0";"10,0";"";"";"";""
"05/07/2024";"0000";"12,0";"93,0";"1006,7";"1,5";"140,0";"10,0";"0,00";"20,4";"";""
"05/07/2024";"1200";"11,2";"96,0";"1009,8";"1,5";"140,0";"10,0";"";"";"11,0";"0,3"
"05/07/2024";"1800";"11,0";"90,0";"1011,4";"2,6";"230,0";"10,0";"";"";"";""
"06/07/2024";"0000";"9,2";"94,0";"1012,7";"0,5";"140,0";"8,8";"8,00";"12,4";"";""
"06/07/2024";"1200";"3,6";"97,0";"1015,2";"1,5";"140,0";"0,0";"";"";"1,0";"1,4"
"06/07/2024";"1800";"11,4";"53,0";"1012,6";"3,1";"140,0";"0,0";"";"";"";""
"07/07/2024";"0000";"9,0";"73,0";"1011,5";"2,6";"140,0";"8,8";"0,50";"12,0";"";""
"07/07/2024";"1200";"7,2";"88,0";"1011,8";"1,5";"140,0";"10,0";"";"";"5,6";"0,0"
"07/07/2024";"1800";"11,0";"82,0";"1010,7";"2,6";"90,0";"8,8";"";"";"";""
"08/07/2024";"0000";"10,2";"95,0";"1012,4";"0,0";"0,0";"7,5";"3,80";"12,0";"";""
"08/07/2024";"1200";"4,6";"100,0";"1014,7";"0,5";"140,0";"2,5";"";"";"3,4";"0,0"
"08/07/2024";"1800";"10,8";"70,0";"1013,0";"1,5";"140,0";"7,5";"";"";"";""
"09/07/2024";"0000";"7,0";"91,0";"1013,1";"3,1";"180,0";"3,8";"5,00";"12,0";"";""
"09/07/2024";"1200";"0,2";"100,0";"1016,4";"0,0";"0,0";"8,8";"";"";"-0,2";"0,0"
"09/07/2024";"1800";"9,2";"61,0";"1010,8";"3,6";"180,0";"7,5";"";"";"";""
"10/07/2024";"0000";"7,6";"89,0";"1010,3";"1,5";"140,0";"10,0";"0,30";"10,9";"";""
"10/07/2024";"1200";"7,0";"97,0";"1008,4";"0,5";"230,0";"10,0";"";"";"6,6";"4,3"
"10/07/2024";"1800";"9,4";"95,0";"1007,2";"1,5";"50,0";"10,0";"";"";"";""
"11/07/2024";"0000";"8,4";"97,0";"1008,0";"0,5";"270,0";"10,0";"0,00";"10,4";"";""
"11/07/2024";"1200";"8,4";"97,0";"1010,4";"1,0";"320,0";"10,0";"";"";"7,8";"1,2"
"11/07/2024";"1800";"10,0";"89,0";"1010,7";"0,5";"320,0";"10,0";"";"";"";""
"12/07/2024";"0000";"9,6";"95,0";"1014,7";"1,0";"320,0";"10,0";"3,90";"12,7";"";""
"12/07/2024";"1200";"7,4";"100,0";"1020,0";"0,5";"140,0";"7,5";"";"";"6,6";"1,8"
"12/07/2024";"1800";"12,0";"63,0";"1019,1";"2,6";"180,0";"3,8";"";"";"";""
"13/07/2024";"0000";"9,2";"86,0";"1021,9";"1,0";"140,0";"10,0";"0,70";"12,7";"";""
"13/07/2024";"1200";"7,0";"91,0";"1018,8";"1,5";"140,0";"8,8";"";"";"6,4";"0,0"
"13/07/2024";"1800";"11,2";"83,0";"1015,1";"2,1";"140,0";"10,0";"";"";"";""
"14/07/2024";"0000";"10,0";"100,0";"1015,5";"1,5";"140,0";"10,0";"0,00";"14,4";"";""
"14/07/2024";"1200";"11,8";"98,0";"1013,2";"2,6";"180,0";"10,0";"";"";"10,0";"13,6"
"14/07/2024";"1800";"13,8";"93,0";"1012,4";"3,1";"180,0";"10,0";"";"";"";""
"15/07/2024";"0000";"12,8";"88,0";"1014,8";"1,5";"140,0";"10,0";"2,60";"17,9";"";""
"15/07/2024";"1200";"12,0";"90,0";"1017,6";"2,6";"140,0";"8,8";"";"";"11,8";"2,0"
"15/07/2024";"1800";"17,6";"67,0";"1018,6";"3,1";"180,0";"7,5";"";"";"";""
"16/07/2024";"0000";"13,8";"82,0";"1015,9";"1,5";"140,0";"6,3";"6,40";"19,9";"";""
"16/07/2024";"1200";"13,2";"96,0";"1013,9";"3,1";"140,0";"10,0";"";"";"12,8";"0,0"
