"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"02/07/2022";"0000";"13,4";"94,0";"997,0";"0,5";"90,0";"0,0";"4,60";"24,8";"";""
"02/07/2022";"1200";"22,8";"53,0";"997,8";"8,3";"360,0";"9,0";"";"";"12,8";"0,0"
"02/07/2022";"1800";"22,4";"71,0";"1000,3";"1,6";"230,0";"7,0";"";"";"";""
"03/07/2022";"0000";"17,6";"88,0";"1004,4";"1,6";"140,0";"8,0";"1,10";"17,8";"";""
"03/07/2022";"1200";"13,8";"82,0";"1008,3";"5,0";"180,0";"9,0";"";"";"13,8";"0,0"
"03/07/2022";"1800";"15,2";"83,0";"1007,5";"3,6";"140,0";"10,0";"";"";"";""
"04/07/2022";"0000";"14,0";"93,0";"1007,5";"3,5";"140,0";"10,0";"2,10";"20,8";"";""
"04/07/2022";"1200";"14,0";"100,0";"1005,8";"0,7";"320,0";"10,0";"";"";"13,6";"5,6"
"04/07/2022";"1800";"20,0";"89,0";"1001,1";"1,3";"140,0";"9,0";"";"";"";""
"05/07/2022";"0000";"18,0";"96,0";"1001,5";"0,5";"230,0";"8,0";"2,70";"23,6";"";""
"05/07/2022";"1200";"15,0";"100,0";"1003,6";"0,3";"320,0";"10,0";"";"";"14,2";"1,3"
"05/07/2022";"1800";"23,0";"80,0";"1000,2";"0,7";"140,0";"9,0";"";"";"";""
"06/07/2022";"0000";"19,8";"95,0";"1002,4";"1,3";"140,0";"9,0";"6,70";"28,4";"";""
"06/07/2022";"1200";"15,6";"100,0";"1003,2";"2,0";"140,0";"10,0";"";"";"15,4";"0,0"
"06/07/2022";"1800";"28,0";"43,0";"998,4";"4,1";"360,0";"9,0";"";"";"";""
"07/07/2022";"0000";"23,6";"50,0";"998,4";"2,5";"360,0";"10,0";"4,50";"24,6";"";""
"07/07/2022";"1200";"24,0";"44,0";"1002,6";"4,3";"360,0";"9,0";"";"";"17,8";"0,0"
"07/07/2022";"1800";"24,0";"63,0";"1004,2";"3,0";"230,0";"9,0";"";"";"";""
"08/07/2022";"0000";"17,8";"94,0";"1008,3";"2,0";"230,0";"10,0";"0,00";"17,8";"";""
"08/07/2022";"1200";"14,4";"98,0";"1011,2";"3,1";"180,0";"10,0";"";"";"12,4";"13,0"
"08/07/2022";"1800";"13,0";"93,0";"1007,8";"3,8";"140,0";"10,0";"";"";"";""
"09/07/2022";"0000";"13,0";"95,0";"1008,0";"3,5";"180,0";"9,0";"4,50";"25,0";"";""
"09/07/2022";"1200";"17,2";"82,0";"1004,8";"1,6";"180,0";"9,0";"";"";"12,6";"23,8"
"09/07/2022";"1800";"21,4";"77,0";"1001,8";"2,1";"180,0";"8,0";"";"";"";""
"10/07/2022";"0000";"19,8";"83,0";"1001,9";"0,7";"140,0";"6,0";"0,30";"26,8";"";""
"10/07/2022";"1200";"25,0";"47,0";"998,8";"";"360,0";"9,0";"";"";"18,2";"0,0"
"10/07/2022";"1800";"26,2";"49,0";"996,2";"";"360,0";"10,0";"";"";"";""
"11/07/2022";"0000";"24,2";"60,0";"994,7";"3,3";"90,0";"8,0";"6,70";"30,4";"";""
"11/07/2022";"1200";"26,0";"46,0";"991,5";"7,6";"360,0";"4,0";"";"";"9,8";"0,0"
"11/07/2022";"1800";"30,0";"42,0";"987,2";"6,6";"360,0";"7,0";"";"";"";""
"12/07/2022";"0000";"14,2";"98,0";"995,6";"1,6";"230,0";"10,0";"4,40";"14,2";"";""
"12/07/2022";"1200";"10,6";"87,0";"1008,0";"1,0";"320,0";"9,0";"";"";"7,4";"25,0"
"12/07/2022";"1800";"13,4";"64,0";"1007,6";"0,8";"230,0";"7,0";"";"";"";""
"13/07/2022";"0000";"7,4";"94,0";"1009,5";"0,0";"0,0";"0,0";"6,00";"14,6";"";""
"13/07/2022";"1200";"5,4";"100,0";"1011,4";"1,6";"140,0";"10,0";"";"";"3,8";"0,0"
"13/07/2022";"1800";"14,0";"76,0";"1008,2";"3,5";"140,0";"0,0";"";"";"";""
"14/07/2022";"0000";"10,8";"90,0";"1005,4";"2,8";"90,0";"0,0";"0,00";"16,0";"";""
"14/07/2022";"1200";"12,0";"100,0";"1003,6";"2,0";"140,0";"10,0";"";"";"10,4";"29,8"
"14/07/2022";"1800";"15,4";"100,0";"1000,0";"1,6";"90,0";"10,0";"";"";"";""
"15/07/2022";"0000";"15,2";"100,0";"999,5";"3,3";"140,0";"7,0";"0,90";"19,0";"";""
"15/07/2022";"1200";"16,2";"100,0";"996,8";"1,0";"140,0";"10,0";"";"";"15,2";"24,6"
"15/07/2022";"1800";"18,6";"92,0";"993,8";"2,5";"90,0";"9,0";"";"";"";""
"16/07/2022";"0000";"16,8";"98,0";"994,4";"1,0";"140,0";"10,0";"1,80";"24,0";"";""
"16/07/2022";"1200";"18,4";"96,0";"990,3";"2,0";"140,0";"10,0";"";"";"12,0";"23,6"
"16/07/2022";"1800";"19,6";"87,0";"989,9";"3,3";"320,0";"10,0";"";"";"";""
"17/07/2022";"0000";"12,0";"93,0";"1000,8";"3,3";"320,0";"10,0";"0,00";"12,0";"";""
"17/07/2022";"1200";"9,6";"86,0";"1011,2";"1,0";"320,0";"10,0";"";"";"9,2";"1,7"
"17/07/2022";"1800";"12,0";"74,0";"1010,2";"1,6";"320,0";"9,0";"";"";"";""
"18/07/2022";"0000";"9,4";"92,0";"1011,5";"0,0";"0,0";"7,0";"4,60";"15,2";"";""
"18/07/2022";"1200";"5,6";"100,0";"1011,9";"1,3";"90,0";"10,0";"";"";"4,6";"0,0"
"18/07/2022";"1800";"14,2";"76,0";"1011,2";"1,6";"50,0";"2,0";"";"";"";""
"19/07/2022";"0000";"9,4";"100,0";"1012,4";"1,6";"140,0";"8,0";"0,00";"13,2";"";""
